TableName,ColumnName,DomainName,Description,DataType,
SITES,S_MAP_SCALE,C_S_MAP_SCALE,Map scale p9,VARCHAR,
SITES,S_MAP_SHEET_NO,,Map sheet number,VARCHAR,
SITES,S_MAP_REF_TYPE,C_S_MAP_REF_TYPE,Map reference type p8,VARCHAR,
SITES,S_PHOTO_FILM_NO,,Air photo film number p10,VARCHAR,
SITES,S_PHOTO_RUN_NO,,Air photo run number p10,VARCHAR,
SITES,S_PHOTO_FRAME_NO,,Air photo frame number p11,INTEGER,
SITES,S_DESC_BY,,Officer code p13,VARCHAR,
SITES,S_DATE_DESC,,Date site described p13 ddmmyyyy,VARCHAR,
SITES,S_TYPE,C_S_TYPE,Type of site p13,VARCHAR,
SITES,S_RAINFALL,,Annual rainfall (mm) p13,INTEGER,
SITES,S_SLOPE_PF,,Slope prefix,VARCHAR,
SITES,S_SLOPE,,"Slope value, % p18",FLOAT,http://registry.it.csiro.au/def/soil/au/asls/landform/slope-value
SITES,S_SLOPE_EVAL,C_S_SLOPE_EVAL,"Slope, means of evaluation p18",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/slope-evaluations
SITES,S_SLOPE_CLASS,C_S_SLOPE_CLASS,"Slope class, p18",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/slope-classes
SITES,S_MORPH_TYPE,C_S_MORPH_TYPE,Slope morphological type p19,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/morphological-types
SITES,S_ELEM_INC_SLOPE,C_S_ELEM_INC_SLOPE,Relative inclination of slope elements p21,VARCHAR,
SITES,S_ELEM_LENGTH,,Length of landform element (m) p27,FLOAT, http://registry.it.csiro.au/def/soil/au/asls/landform/element-dimension-length
SITES,S_ELEM_WIDTH,,Width of landform element (m) p27,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/landform/element-dimension-width
SITES,S_ELEM_HEIGHT,,Height of landform element (m) p27,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/landform/element-dimension-height
SITES,S_ELEM_LOCATION,C_S_ELEM_LOCATION,Location within landform element p27,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/location-within-the-landform-element
SITES,S_ELEM_TYPE,C_S_ELEM_TYPE,Element type p31,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/morphological-types
SITES,S_RELIEF,,Pattern relief (m) p45,INTEGER,http://registry.it.csiro.au/def/soil/au/asls/landform/relief
SITES,S_MODAL_SLOPE,N_S_MODAL_SLOPE,Modal slope p45,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/modal-slope
SITES,S_RELIEF_CLASS,N_S_RELIEF_CLASS,Relief class p48,VARCHAR,
SITES,S_REL_MS_CLASS,C_S_REL_MS_CLASS,Relief/modal slope class p47,VARCHAR,
SITES,S_STRM_CH_SPACING,N_S_STRM_CH_SPACING,Stream channel spacing p48,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/stream-channel-spacing
SITES,S_STRM_CH_DEV,C_S_STRM_CH_DEV,Stream channel development p49,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/stream-channel-development
SITES,S_STRM_CH_DTOW,N_S_STRM_CH_DTOW,Channel depth relative to width p49,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/stream-channel-relative-depth-width
SITES,S_STRM_CH_MIG,C_S_STRM_CH_MIG,Stream channel migration p50,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/stream-channel-migration
SITES,S_STRM_CH_PATT,C_S_STRM_CH_PATT,Stream-wise channel pattern p50,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/streamwise-channel-pattern
SITES,S_STRM_CH_NET_INT,C_S_STRM_CH_NET_INT,Stream channel network integration p50,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/stream-channel-network-integration
SITES,S_STRM_CH_DIR_NET,C_S_STRM_CH_DIR_NET,Stream channel network directionality p52,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/stream-channel-network-directionality
SITES,S_PATT_TYPE,C_S_PATT_TYPE,Pattern type p55,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/landform/simple-erosional-landform-patterns
SITES,S_NOTES,,Free text notes,VARCHAR,
SITES,S_TRANS_AUTHOR,,Translation of format author,VARCHAR,
SITE_MNG_PRCS,LUSE_NO,,Land use number,INTEGER,
SITE_MNG_PRCS,SMP_NO,,Site mngt practice number,INTEGER,
SITE_MNG_PRCS,SMP_DATE,,Date mngt practice observed,VARCHAR,
SITE_MNG_PRCS,SMP_REF,C_MP_REF,Management practice reference e.g. LUMIS Version 1,VARCHAR,
SITE_MNG_PRCS,SMP_CODE,C_MP_CODE,"Site mngt practice type, e.g. liming, fertiliser",VARCHAR,
STRENGTHS,STRG_NO,,Strength number,INTEGER,
STRENGTHS,STRG_CLASS,C_STRG_CLASS,Strength p187,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/consistence-strength
STRENGTHS,STRG_MOISTURE_STAT,C_SOIL_WATER,Moisture status p187,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/soil-water-status
STRUCTURES,STR_NO,,Structure number,INTEGER,
STRUCTURES,STR_PED_GRADE,C_STR_PED_GRADE,Grade of pedality p171,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/structure-pedality-grade
STRUCTURES,STR_PED_SIZE,N_STR_PED_SIZE,Size of peds p172,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/structure-pedality-size
STRUCTURES,STR_PED_TYPE,C_STR_PED_TYPE,Type of pedality p173,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/structure-pedality-type
STRUCTURES,STR_COMPOUND_PED,C_STR_COMPOUND_PED,Compound pedality p180,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/structure-pedality-compound
STRUCTURES,STR_CLODS_FRAGS,C_STR_CLODS_FRAGS,Clods and fragments p181,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/structure-artificial
SUB_MINERAL_COMPS,SB_NO,,Substrate number,INTEGER,
SUB_MINERAL_COMPS,SB_MINERAL_COMP,C_SB_MINERAL_COMP,Mineral composition p208,VARCHAR,
SURF_COARSE_FRAGS,SCF_NO,,Surface coarse fragment number,INTEGER,
SURF_COARSE_FRAGS,SCF_ABUN,N_CF_ABUN,Surface coarse fragment abundance p139,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-abundance
SURF_COARSE_FRAGS,SCF_SIZE,N_CF_SIZE,Surface coarse fragment size p140,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-size
SURF_COARSE_FRAGS,SCF_SHAPE,C_CF_SHAPE,Surface coarse fragment shape p142,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-shape
SURF_COARSE_FRAGS,SCF_LITH,C_LITHOLOGY,Surface coarse fragment lithology p214,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-lithology
SURF_COARSE_FRAGS,SCF_STRENGTH,C_CF_STRENGTH,Surface coarse fragment strength p209,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-strength
SURF_CONDITIONS,SCON_NO,,Surface condition number,INTEGER,
SURF_CONDITIONS,SCON_STAT,C_SCON_STAT,Condition of surface when dry p189,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/condition-of-surface-soil-when-dry
VEG_SPECIES,VSTR_CODE,C_VSTR_CODE,"Stratum, T=tallest, M=mid, L=lower, U=undescribed",VARCHAR,
VEG_SPECIES,VSP_NO,,Vegetation species number,INTEGER,
VEG_SPECIES,VSP_SPECIES,,Genus and species,VARCHAR,
VEG_SPECIES,VSP_CODE,,Vegetation species,VARCHAR,
VEG_SPECIES,VSP_ANBG_ID,,Vegetation species ID used by Australian National Botanic Gardens,INTEGER,
VEG_SPECIES,VSP_ABUN,,Vegetation species abundance,VARCHAR,
VEG_STRATA,VSTR_CODE,C_VSTR_CODE,"Stratum, T=tallest, M=mid, L=lower, U=undescribed, CM=continuum mid",VARCHAR,
VEG_STRATA,VSTR_GROWTH_FORM,C_VSTR_GROWTH_FORM,Growth form,VARCHAR,
VEG_STRATA,VSTR_HEIGHT_CLASS,N_VSTR_HEIGHT_CLASS,Height,VARCHAR,
VEG_STRATA,VSTR_COVER_CLASS,C_VSTR_COVER_CLASS,Crown and foliage cover class NB Values different for Lower,VARCHAR,
VEG_STRATA,VSTR_CROWN_COVER,,Crown cover percentage,FLOAT,
,,,,,
,,,,,
,,,,,
,LABM_CODE,,LABM_NAME,,
LAB_METHODS,LABM_CODE,,LABM_NAME,,
LAB_METHODS,10_BC,,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",FLOAT,
LAB_METHODS,10A_NR,,Total sulfur - S(%) - Not recorded,FLOAT,
LAB_METHODS,10A1,,Total sulfur - S(%) - X-ray fluorescence,FLOAT,
LAB_METHODS,10A3,,C N S; Dumas,FLOAT,
LAB_METHODS,10B,,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,FLOAT,
LAB_METHODS,10B_NR,,Extractable sulfur (mg/kg) - Not recorded,FLOAT,
LAB_METHODS,10B1,,Calcium phosphate-extractable sulfur - manual distillation,FLOAT,
LAB_METHODS,10B2,,Calcium phosphate-extractable sulfur - automated distillation,FLOAT,
LAB_METHODS,10B3,,Calcium phosphate-extractable sulfur - ICPAES,FLOAT,
LAB_METHODS,10B4,,Calcium phosphate-extractable sulfur - ion chromatography,FLOAT,
LAB_METHODS,10C1,,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",FLOAT,
LAB_METHODS,10D1,,Potassium chloride - 40 sulfur (KCl-40)-S,FLOAT,
LAB_METHODS,10Z1,,4M HCL extr. ICP finish,FLOAT,
LAB_METHODS,11A1,,Total gypsum,FLOAT,
LAB_METHODS,11A2,,Total gypsum - MIR reflectance spectroscopy,FLOAT,
LAB_METHODS,12_HCL_CU,,Total element - Cu(mg/kg) - Total acid(HCl),FLOAT,
LAB_METHODS,12_HCL_FE,,Total element - Fe(%) - Total acid(HCl) extractable Fe,FLOAT,
LAB_METHODS,12_HCL_FEO,,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,FLOAT,
LAB_METHODS,12_HCL_MN,,Total element - Mn(mg/kg) - Total acid(HCl),FLOAT,
LAB_METHODS,12_HCL_ZN,,Total element - Zn(mg/kg) - Total acid(HCl),FLOAT,
LAB_METHODS,12_HF_CU,,Total element - Cu(mg/kg) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,12_HF_FE,,Total element - Fe(%) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,12_HF_MN,,Total element - Mn(mg/kg) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,12_HF_ZN,,Total element - Zn(mg/kg) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,12_HF+_FEO,,Total element - Fe(%) - HF/HClO4 Digest(Fe2O3),FLOAT,
LAB_METHODS,12_NR_CU,,Total element - Cu(mg/kg) - Not recorded,FLOAT,
LAB_METHODS,12_NR_FE,,Total element - Fe(%) - Not recorded,FLOAT,
LAB_METHODS,12_NR_MN,,Total element - Mn(mg/kg) - Not recorded,FLOAT,
LAB_METHODS,12_NR_ZN,,Total element - Zn(mg/kg) - Not recorded,FLOAT,
LAB_METHODS,12_XRF_CU,,Total element - Cu(mg/kg) - X-Ray Fuoresence,FLOAT,
LAB_METHODS,12_XRF_FE,,Total element - Fe(%) - X-Ray Fuoresence,FLOAT,
LAB_METHODS,12_XRF_FEO,,Total element - Fe(%) - X-Ray Fuoresence (Fe2O3),FLOAT,
LAB_METHODS,12_XRF_MN,,Total element - Mn(mg/kg) - X-Ray Fuoresence,FLOAT,
LAB_METHODS,12_XRF_ZN,,Total element - Zn(mg/kg) - X-Ray Fuoresence,FLOAT,
LAB_METHODS,12A1_AL,,"DTPA - extractable copper, zinc, manganese,aluminium and iron",FLOAT,
LAB_METHODS,12A1_CU,,"DTPA - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,12A1_FE,,"DTPA - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,12A1_MN,,"DTPA - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,12A1_ZN,,"DTPA - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,12B1_CU,,Ammonium bicarbonate/EDTA - extractable copper,FLOAT,
LAB_METHODS,12B1_FE,,Ammonium bicarbonate/EDTA - extractable Iron,FLOAT,
LAB_METHODS,12B1_MN,,Ammonium bicarbonate/EDTA - extractable manganese,FLOAT,
LAB_METHODS,12B1_ZN,,Ammonium bicarbonate/EDTA - extractable zinc,FLOAT,
LAB_METHODS,12C1,,Calcium chloride extractable boron - manual colour,FLOAT,
LAB_METHODS,12C2,,Calcium chloride extractable boron - ICPAES,FLOAT,
LAB_METHODS,12C3,,"Water extract, ICP",FLOAT,
LAB_METHODS,12D1_CU,,"0.1 M HCl - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,12D1_FE,,"0.1 M HCl - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,12D1_MN,,"0.1 M HCl - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,12D1_ZN,,"0.1 M HCl - extractable copper, zinc, manganese and iron",FLOAT,
LAB_METHODS,1.20E+02,,Calcium chloride - extractable Mo,FLOAT,
LAB_METHODS,13_C_FE,,Extractable Fe(%) - Method recorded as C,FLOAT,
LAB_METHODS,13_NR_AL,,Extractable Al(%) - Not recorded,FLOAT,
LAB_METHODS,13_NR_FE,,Extractable Fe(%) - Not recorded,FLOAT,
LAB_METHODS,13_NR_MN,,Extractable Mn(%) - Not recorded,FLOAT,
LAB_METHODS,13A1,,Si,FLOAT,
LAB_METHODS,13A1_AL,,Oxalate-extractable aluminium,FLOAT,
LAB_METHODS,13A1_FE,,Oxalate-extractable iron,FLOAT,
LAB_METHODS,13A1_MN,,Oxalate-extractable manganese,FLOAT,
LAB_METHODS,13A1_SI,,Oxalate-extractable silicon,FLOAT,
LAB_METHODS,13B1_AL,,Pyrophosphate-extractable aluminium,FLOAT,
LAB_METHODS,13B1_FE,,Pyrophosphate-extractable iron,FLOAT,
LAB_METHODS,13C_C_FE,,Extractable Fe (Free) % - Method recorded as C,FLOAT,
LAB_METHODS,13C1_AL,,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",FLOAT,
LAB_METHODS,13C1_FE,,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",FLOAT,
LAB_METHODS,13C1_FE203,,Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3,FLOAT,
LAB_METHODS,13C1_MN,,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",FLOAT,
LAB_METHODS,13C1_SI,,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",FLOAT,
LAB_METHODS,13D1,,Acid-extractable soil silicon - automated colour,FLOAT,
LAB_METHODS,13D2,,Acid-extractable soil silicon - ICPAES,FLOAT,
LAB_METHODS,14_NR_S,,,FLOAT,
LAB_METHODS,14A1,,Saturation extract - filter suction,FLOAT,
LAB_METHODS,14A2,,Saturation extract - automatic extractor,FLOAT,
LAB_METHODS,14A3,,"Saturation extract - centrifuge, closed system",FLOAT,
LAB_METHODS,14A4,,"Saturation extract - centrifuge, Gillman",FLOAT,
LAB_METHODS,14B1,,Electrical conductivity/SE,FLOAT,
LAB_METHODS,14C1,,pH/SE,FLOAT,
LAB_METHODS,14D1_BC,,Bicarbonate/SE and carbonate/SE - potentiometric titration,FLOAT,
LAB_METHODS,14D1_BiCar,,Bicarbonate/SE - potentiometric titration,FLOAT,
LAB_METHODS,14D1_C,,Bicarbonate/SE and carbonate/SE - potentiometric titration,FLOAT,
LAB_METHODS,14D1_Carb,,Carbonate/SE - potentiometric titration,FLOAT,
LAB_METHODS,14D2_BC,,Bicarbonate/SE and carbonate/SE - indicator method,FLOAT,
LAB_METHODS,14D2_BiCar,,Bicarbonate/SE  - indicator method,FLOAT,
LAB_METHODS,14D2_C,,Bicarbonate/SE and carbonate/SE - indicator method,FLOAT,
LAB_METHODS,14D2_Carb,,Carbonate/SE - indicator method,FLOAT,
LAB_METHODS,1.40E+02,,Chloride/SE - potentiometric titration,FLOAT,
LAB_METHODS,1.40E+03,,Chloride/SE - ion chromatography,FLOAT,
LAB_METHODS,14E2a,,Chloride/SE - ion chromatography (chemical suppression of eluent conductivity),FLOAT,
LAB_METHODS,14E2b,,Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity),FLOAT,
LAB_METHODS,1.40E+04,,Chloride/SE - ICPAES,FLOAT,
LAB_METHODS,14F1,,Sulfate/SE - ICPAES,FLOAT,
LAB_METHODS,14F2,,Sulfate/SE - turbidimetric,FLOAT,
LAB_METHODS,14F3,,Sulfate/SE - gravimetric,FLOAT,
LAB_METHODS,14F4,,Sulfate/SE - automated colour,FLOAT,
LAB_METHODS,14F5,,Sulfate/SE - ion chromatography,FLOAT,
LAB_METHODS,14F5a,,Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity),FLOAT,
LAB_METHODS,14F5b,,Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity),FLOAT,
LAB_METHODS,14G1,,Fluoride/SE - specific ion electrode,FLOAT,
LAB_METHODS,14G2,,Fluoride/SE - ion chromatography,FLOAT,
LAB_METHODS,14H1_CA,,"Soluble bases/SE (Ca,Mg,K,Na)",FLOAT,
LAB_METHODS,14H1_K,,"Soluble bases/SE (Ca,Mg,K,Na)",FLOAT,
LAB_METHODS,14H1_MG,,"Soluble bases/SE (Ca,Mg,K,Na)",FLOAT,
LAB_METHODS,14H1_NA,,"Soluble bases/SE (Ca,Mg,K,Na)",FLOAT,
LAB_METHODS,15_BASES,,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations,FLOAT,
LAB_METHODS,15_HSK_CEC,,CEC - meq per 100g of soil - HOSK,FLOAT,
LAB_METHODS,15_NR,,Sum of Ex. cations + Ex. acidity - Not recorded,FLOAT,
LAB_METHODS,15_NR_AL,,Aluminium Cation - meq per 100g of soil - Not recorded,FLOAT,
LAB_METHODS,15_NR_BSa,,,FLOAT,
LAB_METHODS,15_NR_CA,,Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded,FLOAT,
LAB_METHODS,15_NR_CEC,,CEC - meq per 100g of soil - Not recorded,FLOAT,
LAB_METHODS,15_NR_CMR,,,FLOAT,
LAB_METHODS,15_NR_H,,Hydrogen Cation - meq per 100g of soil - Not recorded,FLOAT,
LAB_METHODS,15_NR_K,,Exch. basic cations (K++) - meq per 100g of soil - Not recorded,FLOAT,
LAB_METHODS,15_NR_MG,,Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded,FLOAT,
LAB_METHODS,15_NR_MN,,,FLOAT,
LAB_METHODS,15_NR_NA,,Exch. basic cations (Na++) - meq per 100g of soil - Not recorded,FLOAT,
LAB_METHODS,15A1_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A1_Ca_MQ,,Exchangeable calcium,FLOAT,
LAB_METHODS,15A1_CEC,,,FLOAT,
LAB_METHODS,15A1_K,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A1_MG,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A1_Mg_MQ,,Exchangeable magnesium,FLOAT,
LAB_METHODS,15A1_MN,,,FLOAT,
LAB_METHODS,15A1_NA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A2_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A2_CEC,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A2_K,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A2_MG,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A2_NA,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15A3_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15A3_CEC,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15A3_K,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15A3_MG,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15A3_NA,,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15B1_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B1_CEC,,"CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B1_K,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B1_MG,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B1_NA,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B2_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B2_CEC,,"CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B2_K,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B2_MG,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B2_NA,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15B3_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15B3_CEC,,"CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15B3_K,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15B3_MG,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15B3_NA,,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15C1_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15C1_Ca_MQ,,Exchangeable calcium,FLOAT,
LAB_METHODS,15C1_CEC,,"CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15C1_K,,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15C1_MG,,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15C1_Mg_MQ,,Exchangeable magnesium,FLOAT,
LAB_METHODS,15C1_NA,,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15C2_CA,,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,FLOAT,
LAB_METHODS,15C2_Ca_MQ,,Exchangeable calcium - MIR QLD Calibration 1,FLOAT,
LAB_METHODS,15C2_CEC,,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,FLOAT,
LAB_METHODS,15C2_CEC_M,,Cation exchange capacity - MIR QLD Calibration 1,FLOAT,
LAB_METHODS,15C2_MG,,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,FLOAT,
LAB_METHODS,15C2_Mg_MQ,,Exchangeable magnesium - MIR QLD Calibration 1,FLOAT,
LAB_METHODS,15D1_AL,,,FLOAT,
LAB_METHODS,15D1_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",FLOAT,
LAB_METHODS,15D1_CEC,,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",FLOAT,
LAB_METHODS,15D1_K,,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",FLOAT,
LAB_METHODS,15D1_MG,,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",FLOAT,
LAB_METHODS,15D1_NA,,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",FLOAT,
LAB_METHODS,15D2_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor",FLOAT,
LAB_METHODS,15D2_CEC,,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor",FLOAT,
LAB_METHODS,15D2_K,,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic",FLOAT,
LAB_METHODS,15D2_MG,,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic",FLOAT,
LAB_METHODS,15D2_NA,,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic",FLOAT,
LAB_METHODS,15D3_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15D3_K,,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15D3_MG,,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15D3_NA,,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",FLOAT,
LAB_METHODS,1.50E+02,,Exchangeable bases,FLOAT,
LAB_METHODS,15E1_AEC,,"Exchangeable bases , CEC and AEC by compulsive exchange, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E1_AL,,"Exchangeable Al - by compulsive exchange, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E1_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E1_CEC,,"CEC by compulsive exchange, no pretreatment for soluble salts",FLOAT,
